媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
家人說要趁還沒嫁前多出門玩是啥意思  沒生小孩沒差吧生小孩要顧前幾年很麻煩
盒盒濕了  盒盒真噁嘔嘔嘔嘔
中國人民憎恨日軍侵華但卻支持俄軍侵烏  當年支那劣根奴應該乖乖給日軍虐殺然後投降
要怎麼分辨公關公司還是外國狂粉  臉白的是狂粉，臉紅鬍子長的那個是關公
八年級生在職場上怎這麼敢說  真的不知道這種人在想什麼有夠狗
人類先祖當初為何要從東非出走  東非樹上的猴子就是當初沒走的
湯德章舊厝90年損害嚴重協會募款欲修復  湯德章的成長記錄超覺青的,背叛叔叔
台語蕃茄的咖媽斗是怎麼來的  是有這變體，但是不是系統性變化，需要調
為何比爛邏輯在台灣屹立不搖  過去只有A跟B在比爛，這次C明顯好得多
台灣的性犯罪更生人出獄後適合去哪求職  要玩台灣女人去民進黨
認真文批評中國沒民主的人很糟糕  其實民主是什麼每個人看法我看不
焦糖急了民進黨準備複製2018潰敗曝  明年開始很可能吃不到飼料了你看看他急
想用電腦上網看線上電視哪一家最推  用電腦還看什麼線上電視看OTT啊
林莎讓香港人暴動洗溫泉尺度太大  尺度大什麼大啊不就一般
欸欸妹妹說她腋下很臭  五樓想舔猛甲剛健身完的腋下
台女大學生為什麼不會打工當保姆  開大車
看完的東西容易忘記怎麼加強記憶呢  記憶吐司
文組思考跟理組思考差在哪  差在一個是理組一個是文組
公司內部串門子的人最後結果會怎樣  會被踢出去公司只收認真做事的菁英
美國CMU是間怎樣的學校  唸到CMU還要發廢文的是怎樣的人
是不是沒有純本省又理組的文青  本省文青被殺了一籮筐都去填海了…
6月4日出生的中國人可以慶生嗎  不用擔心這麼多，那天出生的人都會替換
巨浪當背景網美照真拍成亡美女遊  為了美照可以犧牲生命
急在線等2024奧運運彩要怎麼下  運彩不會賣吧
中國人民憎恨日軍侵華但卻支持俄軍侵烏  俄爹禁止中國街
洗地機到底多好用  人形洗地機很好用
獨家柯文哲徵不分區立委傳鎖定網紅  上一屆民眾黨不分區都開海選了為何你會
這邊有沒有人去過異世界啊  去異世界要先過勞死欸
職權性騷擾算是台灣民主價值的一環嗎  在民主的大義面前受害者的奶子微不足道
有人也喜歡冰球樂團嗎  以這裡的年齡層不會有幾個人認識
台女大學生為什麼不會打工當保姆  你改5000不就有了
妹妹超級變態的  妹妹拿去打手槍
少子化辦公室以外的部門沒績效卻沒砍掉  然後沒人監督
台女大學生為什麼不會打工當保姆  IU別找工作了當家教吧@_@!
夫妻帶2幼兒住雙人房遭要求加收人頭費愣了2派人  沒錯，網站有寫不收到場卻收，這樣不行
詭異小偷破門而入先發呆不忘打掃環境  沒辦法忍受環境髒亂的罪犯
杰哥是虛構的阿瑋其實另有企圖  ==簡訊本來就會+886iphone就有
臺灣大學的排名是這樣沒問題吧  台大實際在世界的排名說是985還抬舉了
現在有日本女星超越新垣結衣了嗎  現在的嗎?那一堆都超越了
蚊子叮腳底板真的有夠靠北  阿肥我剛剛看到有蚊子叮在狗狗的肛門，然
欸欸南朝鮮企鵝姨根本欠檢舉吧  莫是為了長駐所以去申請就業金卡
館長我們便當真的做不出來  不缺這兩三百漲10塊卻說要餓死沒飯吃了
民進黨爆性騷吃案侯友宜嗆賴主席有  你底下的人性騷所以你也性騷?這啥邏輯
抽煙的人都什麼時候決定要去抽一根  家裏不能抽，只好去外面抽的人都會說我
為什麼明明有黃燈紅燈變綠燈卻不用它  有人看黃燈是加速衝的意思啊
怎麼向文組解釋發散和收斂  文組要學微積分做什麼？？
幹酒駕4次累犯只關半年法官是沒被打過  不是這個原因
車上貼一張新手女駕駛真的有用  貼女新手就好字太多
館長我們便當真的做不出來  研發這麼久，連一天的量都估不出來，笑死
獒犬狠咬騎士小腿血腫有綁繩索未戴口  我家狗咬人一定是有誰刺激牠，牠平常都
統神的貓陳橘還沒找到嗎  貓沒什麼忠誠度的
甄子丹和李連杰在黃飛鴻裡有真打嗎  是沒看過真打嗎?拍電影真打能看?
回應換侯三部曲侯友宜攜手一起面對外  阿呆才會在那邊喊拿空包的去換猴
夫妻帶2幼兒住雙人房遭要求加收人頭費愣了2派人馬  規定寫7歲以上才收，但小孩是2歲不
端午送禮一多三少南市環保局稽查200  管一堆
大家都怎麼唸GIDLE  (G)I-DLE怎麼會有這種問題？
今天電台怎麼在播星街彗星  哪個電台
今年國際特赦組織黃衣人的款項細目  國際垃圾組織
夏天的風  每到夏天我吹著溫暖的風
為什麼大型連鎖服飾店的更衣間都是拉布  迪卡儂以前也是拉布，後來才改木板門
黑夜給了我黑色的眼睛為什麼這麼紅  我推的眼睛
八年級生在職場上怎這麼敢說  我在家樂福不是做賣場那區是裡面央廚
台女大學生為什麼不會打工當保姆  會是大學生會想選的打工
館長我們便當真的做不出來  台灣經濟真的好!260便當熱賣到做不出來
GIDLEQueencard快破億拉  這個破億速度離bp還有一段距離吧
第一天生意爆量招呼不週也還好吧  沒優惠之後就生意就見真章了
具足蟲拉麵是在報復日本人嗎  這蟲是日本人開始吃的耶
獨家柯文哲徵不分區立委傳鎖定網紅  不分區不用選
有人考到汽車駕照到現在還不敢開車嗎  一堆人考到駕照卻不敢上路真奇葩的制度
編號9425連千毅心情平靜睡新收4人房  謝謝你9425
前高端審委夫妻涉洩密內線交易罪認罪  又高端
俄羅斯如果打輸了要怎麼賠烏克蘭  如果烏克蘭都算納粹了，那俄羅斯也有納
APP物色女師上門殺害棄屍她認了  女人何苦為難女人
強拆清真寺穹頂雲南警民爆衝突約30人被  又有「鄭和」要被製造出來了嗎?!
其實台灣女生胸部都挺大的吧  台灣女生胸部都挺大圖？
什麼叫做愛的八卦  徐錦江：告訴我，你們的經歷是什麼？
台大弟弟畢業在家啃老月花4萬喝茶她  這隻陽交大是哪間糞校養出來的
採草獸商品重複印到期日  這裡是男同俱樂部不是寵物板
天氣這麼熱竟然沒人送Jinny保冷袋  北部有人送的綠色冰袋好像給回收人了
大家都是怎麼增加收入的  希望樓上買到對的大蕭條法幣會被箝制的
家人間為政治吵架484很愚蠢  是多久然後還為這幫人吵架
男生練身材到穿衣服好看要多久的八卦  40腰的褲子要能撐起來才好看
獨家柯文哲徵不分區立委傳鎖定網紅  不分區改投別人
火星指引鬼宿星團現身北市天文館63直播  維基寫，鬼宿星團位於巨蟹座
低脂鮮乳到底哪些人在喝的  說代糖更不健康這種反智的話然後嘴別
七七四十九天  九九八十一
獒犬狠咬騎士小腿血腫有綁繩索未戴口  一堆呀，還有養到棄養的也有
警首度查獲MAPA安毒工廠特殊工法全程  那MAPA哪裡取得
台灣人就很好欺負為什麼要裝兇狠  五樓都被狂甲肛欺負
辣椒演化至今是不是哭笑不得阿  咖啡也是咖啡因本來是為了防蟲與抑制別
八年級生在職場上怎這麼敢說  真不缺就去跑uber了還op….
年薪低於多少不如去跑外送或當司機  南部年薪72以下，都可以去外送了
每個人家裡都會放花瓶掛畫之類的裝飾嗎  自己覺得好看就會放看得懂的就會懂
有性專區是不是就不用性騷擾了  想太多就像明明有a片想看什麼就有什麼
欸欸南朝鮮企鵝姨根本欠檢舉吧  應該有工作簽證吧沒這麼笨還接工商吧
尤伯祥法庭爭議言行法界也搖頭  你各位搖頭沒屁用，蔡媓喜歡就行了笑死
誰是被害者開拍日星藤岡靛加入  那個是藤岡弘
蘇聯解密的UFO真實性  頭和眼睛都很大的人形就是外行人的想像
日本男偶像團體都誰在追的  窩覺得全世界偶像團體演戲都
大家晚上都看什麼電視  我以為大家都一樣邊看電視邊再PTT和推特
李立群在西台灣確診  西台灣抓得住他
高雄小港工地鷹架遭強風吹落鐵條貫穿民  台中直接貫穿捷運
前黨工遭性騷賴清德致歉不會就這樣算  功德賴這一手玩的很漂亮民進黨個個是鬥
剛剛左營高鐵站4樓臨停區有歌手  鼓鼓有聽過但不記得長相
台大弟弟畢業在家啃老月花4萬喝茶她  我一堆台大同學畢業都在家躺平不工
獨角仙遭偷抓八卦山祕境一度剩10隻園  抓一隻告一隻
少年謝爾頓好看嗎  少年和長大謝爾頓都好看
聽說八卦版一堆肛門控  五樓就是吸肛門控
民進黨爆性騷擾吃案柯文哲批拖9個月通往性平台灣還  高虹安辦公室性騷擾案的後續有消息嗎？
王嘉爾才174公分  174就是170+1。真的174幹嘛不灌到178
停止雙語政策連署逾萬人全教總要綠藍白  所以才要雙語教育啊，幾代之後台下全
公務員調薪物價又要漲一波啦  利率不漲，物價絕對漲，蠢台灣人
光電弊案延燒國民黨團揭相關公司設址1  台電通公司公司通黨庫改成這樣玩啊
獨家柯文哲徵不分區立委傳鎖定網紅  不分區已經確定要海選了哪裡有另外找
民進黨爆性騷擾吃案柯文哲批拖9個月通往性平台灣還  坐等下次柯出事民進黨負責
低脂鮮乳到底哪些人在喝的  怕胖又想喝的人
日本人不愛出國跟房價漲有關嗎  都比日本人愛出國.
選罷法沒有包含性騷擾及性侵害  讓我看看！！
民進黨涉性騷導演為桃園廣電基金委員市  塔綠班：桃園出包張善政下台負責
不講武德美海軍陸戰隊員休假勸導屁孩竟被痛毆掛彩  他們是民眾不是敵人www
大家覺得哪個節目停播最可惜  那個
焦糖急了民進黨準備複製2018潰敗曝  他已經碩士畢業，屌打一堆4%藍白魯蛇了
當兵的回憶真的一定要有嗎  [問卦]當學生的回憶真的一定要有嗎
台灣被詐騙的人好像不少欸  817萬人：
控制懶覺很難嗎  你朋友身材292929對嗎
不缺錢的人去做保全心情是  以前寒暑假去做過志工一堆醫生娘
兩岸若開戰台灣是否淪陷恐取決日本  腐敗的過習近平嗎？這不是問題
肥宅的容貌焦慮問題要怎麼處理  都沒人回
為什麼現在牙醫都不會主動幫人補蛀牙  不然都不主動看
有沒有正妹頻道的八卦  成本低？每月8次finedining和包包
慟masterchef主持人死了  你lag了，5/1就死了
在林森北路忘記帶錢包怎麼辦  還有什比本票更有效力的嗎==
有沒有豐田通商的八卦  印象中是做電控元件貿易的
太空中有空氣ㄇ  太空本來就近似真空無空氣，有疑慮嗎？
在日本的博多第一餐要吃什麼  沒錯，好奇吃過，覺得很普，但是很貴。
頭靠肩膀算性騷擾嗎  被害人的頭是被強按到肩膀上的好嗎
綠營提青年電動機車不限廠牌基市有道  機車還要補助？是有多窮？嫌機車
不缺錢的人去做保全心情是  但對現今的人那不是必須要體驗過的
66歲博士有被性騷擾過嗎  上次被變臉馬上修法，誰敢性騷擾她？
黑貓line抽獎誤發所有人填個資  這個是加好友就能抽，抽中才填個資，結
樓上鄰居疑似一個獨居的6歲小孩  小太郎一個人生活啦
請問孫東寶豪吃嗎  難吃，吃過一次拒絕往來。
九萬算高薪吧  9萬不算高薪，爽缺就棒棒
有沒有公視玩文字遊戲的八卦性騷案  玩文字遊戲可以騙過一些人，不玩會全滅
想跟上潮流建議買Dunk還是Force  潮不潮跟臉有關
剛看完黑暗榮耀有疑問  就是要讓他們自相殘殺一無所有直接
認真文南美洲沒統一是不是美國搞的  又是一個丟中國好棒棒美國邪惡軸心的射後不
講性騷擾卻想不到共產黨滲透敗壞台灣  這是動漫版？
為啥星際大戰裡的腳色容易黑化  絕對的權力使人絕對的腐化
曾替蔡總統拍首支廣告性騷導演輝哥一生  推整理用心
windowsCE都誰在用的  產線在用的
拉麵太燙你會怎麼吃  拉麵不可能太燙好嗎?
有木有中小學生優良課外讀物的八卦  還把文學名著改編成漫畫，連卡通也有
獨家柯文哲徵不分區立委傳鎖定網紅  白色力量是不是專門收垃圾跟拐瓜劣棗來濫
俄羅斯連夜空襲基輔殘骸擊中公寓釀3死  垃圾俄羅斯
罵人垃圾公司還進去任職是什麼心態  比垃圾還垃圾的
性騷擾吃案輿論炸鍋民進黨最新聲明若  因為民進黨都是騙子集合
在日本的博多第一餐要吃什麼  我在博多第一餐是吃小七
不吃高麗菜和香菇會很怪嗎  我不吃香菇，但吃高麗菜，香菇味道會讓
停止雙語政策連署逾萬人全教總要綠  唸雙語幼稚園小學不繼續雙語一樣忘光
前黨工遭性騷賴清德致歉不會就這樣算  不會就這樣算了，可以算恐嚇嗎??
3縣市明熱爆高雄連三天飆破36C一  南部拆一拆弄基礎能源跟軍事?
范雲竟喊出來打球網揭民進黨婦女部  民進黨相關的組織就沒一個正常，都很黑心
D卡現在的人都這麼奴嗎  水鍍膜噴超少那是老闆叫人設定的
大家久等了三斤祖奶奶開示了  三斤邏輯真的輾壓黑菊
要不是嘟嘟能幹及第師傅後期根本廢  及第沒吃好友操girl他是和李嚴比賽
感觸是不是不需要那麼多重製電影了  是不需要那麼多lgbt垃圾元素
性騷擾吃案輿論炸鍋民進黨最新聲明若  歷史殷鑑，立委是全台最香的東西
好久以前的霹靂  以前霹靂衛星電視台的台語卡通都好讚
有人刺青刺在GG上嗎  五樓在GG上刺GG
小美人魚的女角也長太醜到底誰會去看  党會要求人民去看
蛋價降了店家加蛋沒降價  你加了薪老闆給你減薪你一定不願意阿
巴布亞紐幾內亞真的有食人族  有啊，有紀錄片
若用土雞跟白肉雞同樣料理盲測吃得出來嗎  但盲測應該測得出來。
艋舺給迪士尼翻拍會怎麼拍  為什麼要拍，常在芝加哥、底特律上演
暑假一位難求長榮航今年獲利衝新高  唉買在上一次高點，希望能脫手。
非凡怎麼從眾人推崇變成現在這樣沒種  自從發現只要9萬就能收買他之後...
從高速行駛的車輛中跳車484很危險  阿湯哥笑而不語
去除行人地獄汙名5月科技執法取締破81萬  早該普遍設置科技執法+行人專用時相了
開發票漲價vs不開發票原價  不開發票然後去網路公審他不開發票
館長因為大家太支持了  沒有很貴是不是誤會了什麼？
有沒有紅燈等到最後幾秒卻闖過去的八卦  哪個路口?看看有沒有閃光燈啊
台北真的這麼好為何人口還外移  高雄也很好啊，為什麼人口也外移？
中年男失聯一晚成浮屍家屬將軍漁港悲痛  幸福城市多死幾個
印象最深的不雅姓名  熄禁評
夜市食物484快變奢侈品了  早就沒去夜市吃了，越來越貴放棄。
歐聯盃塞維利亞第七次登頂羅馬雖敗猶  樓上，當然是回去踢歐霸
公務員調薪物價又要漲一波啦  280億不是一次性是每年都要多280億
驚長澤雅美最近是不是變瘦了的卦  奶子是不是縮水了
為何不規定電動車都要有太陽能車頂  規定馬路都要太陽能板阿
館長會怎麼評論這次性騷擾案  可以預料的到這雙標風向仔會說什麼了哈
去華草原練習大叫該怎麼叫才內行  老闆:去華山大草原練習大叫啦
酒駕四次被撞死能不能申請國賠  5F奈米屌也想申請國賠
一直被加入Line飆股群組的八卦  群組在2021年有報這支我就信是飆股群組
實驗室是否洩病毒中共專家不排除任何可  應該回不去了
所以赤木晴子第一次到底被誰奪走  赤木的第一次被誰奪走
原來覺青的世界也是這麼險惡  覺青之間還會互相殘殺。之前華山姦殺狼就是
火車西半部為何要開  火車也有它便利的地方
鄭家純性騷擾受害者能夠公平正義  她算日本人嗎
給超便宜月票也要提高私有運具成本吧  那要看目的是什麼？如果是為了改善交通那
3縣市明熱爆高雄連三天飆破36C一  高雄人都沒在開冷氣的好嗎？越暖越爽
控制懶覺很難嗎  很難啊只能上下
草盛豆苗稀怎麼辦  吃草就行了
館長便當道歉啟事  剛才不是在那罵?道歉有誠意?
台灣人為啥下班不能走要留下來裝忙  幹!加班裝忙也是爽啊!沒遇過真．加班?
百坪建物只要16萬平均每坪1400創基隆  而且還沒土地，建物本身已經爛的差不多了
傳浙江職校開課教女生勾引男人被批催生  五樓都勾引愛滋甲
台中板爆文抽獎電影票被抓包  手法太粗糙被抓包剛好
賴清德拚淨零轉型過渡期解方成當務之急  要淨零就是台積AI一直用電的不做最快
相撲的晉級有多難啊  論橫綱我只服千代の富士
用最頂的材料蓋房子房價會跌嗎  最頂的材料有什麼？
小美人魚是不是暈船仔  樓下你是不是包莖奈米臭雞雞
性騷導演輝哥是民進黨員蔡英文還曾出席  又是蔡英文
館長我的便當冷的也好吃  哪我要訂冷的送來溫的不要
確診幾天轉陰  你感冒會管他幾天轉陰嗎
新北停車場叫中正竟被中央要求改名  改名叫功德停車場民主停車場還是大小
泰晤士世界大學影響力排名成功大學第24  成大影響力排名有那麼前面？
神明要降駕時會通知嗎  應該要與時俱進，降駕時先app通知啊
民進黨爆性騷擾吃案柯文哲批拖9個月通往性平台灣還  今天整個黨被打爆，當然要找柯出氣啊
雞排妹翁立友兩年了為什麼不對我提告  翁：都2年惹為什麼還不放過我
館長便當下午才到是誰害的  反正絕對不是館長的錯
台灣人紅歌不紅的代表是誰  台灣現在最紅的是en吧對岸的
35歲蔡黃汝喊凍卵炎亞綸認有跟阿璞  20幾歲不凍？35歲才要凍？
女生常說的清潔感是什麼意思  四叉貓如果是異性戀，他那種鬍子女生應
看不懂名畫正常嗎  阿姨也說一些名畫常常看不懂哩？
民進黨爆性騷擾吃案柯文哲批拖9個月通往性平台灣還  別忘了，賴還提名偷拍仔，民進黨一堆
館長我就不能第一天開店有點失誤  可是我真的第一次插入就成功館長你軟屌?
為什麼性騷搞得比謀財害命嚴重  嚴重的是吃案的部分
幹酒駕4次累犯只關半年法官是沒被打過  酒駕關半年你打了要關十年
31歲處男肥宅會去凍精嗎  去問甲處男abc
甚麼事拜託肥宅做會很安心  買宵夜，不只安心，還會多買
陳沂推薦翁立友當鄭家純嘉賓  消費翁立友？真的是當翁都沒歌迷噓你是不
鄭家純性騷擾受害者能夠公平正義  希望被誣賴性騷的受難者都能夠獲得正義
有沒有麥當勞雞塊的八卦  台麥是給盤子吃的
多魯的人才會酸公務員加薪4趴  能酸的也蠻可憐的
神明要降駕時會通知嗎  乩身會嘔嘔嘔
投YT廣告的公司在想什麼  這奇怪的小東西在亞馬遜上
抗癌網紅麵包包認了裝病欺騙所有人3年  胰臟癌第四期我還沒聽過有人活3年
會去增貸的人可以笑別人底層嗎  增貸投資失敗你的命就是黑道的了
館長因為大家太支持了  太誇張了啦四點都要吃晚餐了
這個禮拜日中國人會放假嗎  重要的日曆缺了一角
邪惡的飛天白蟻來了救命線上等  樓上的方法我用過陽台燈開著放盆水家裡
驅魔師是體力活嗎  剛好認識一個老爸是撒旦的驅魔師怎摸辦?
南科設備故障電力壓降聯電部分晶圓報  電力設備故障壓降，距離越近的影響越大
男偶像猥褻隊友4年法官斥犯行惡劣  知男而上男上加男...
菜市場炸雞好吃可是為什麼做不大  好吃？不都是粉然後肉質差又沒味道
超微是AMD還是supermirco  AMD的A是「先進advanced」，是Ame
台北人會沒去過中永和  我以前工作住新莊10年沒去過幾次
外帶湯麵的人不怕吃到塑化劑嗎  已經縮陽入腹了，不怕
台灣單身魯蛇仔除了在台當奴工有其他國家  西台灣當韭菜或人礦
每次吃完拉麵的很後悔  拉麵本來就是很空虛的食物
臺灣女權鬥士代表人物是誰  樓下性幻想對象是誰
鄰居打架敲門問回說是蟑螂  你不是才問過
售波蘭4千億武器南韓躋身軍售大國  照八卦仔的邏輯波蘭一定收了韓國仔一
抗癌鬥士麵包包是誰  你是故意在下面那篇之前問的？
抗癌網紅麵包包認了裝病欺騙所有人3年  還好吧，才騙3年，蔡大小姐騙了8年都沒事
男生按壓乳頭會痛是什麼問題  搞不好是乳癌，男生也有可能會得
口試還要準備伴手禮  我是沒準備啦呵呵
民進黨爆性騷擾吃案柯文哲批拖9個月通往性平台灣還  一點也不有趣。那個小女生一輩子都活在
現代尚方寶劍是啥  五樓都吃自己的尚方寶劍^^
明天為什麼一堆人請假  明天請假就是玩重登
吹哨者會不會被  吹哨者應該是被謀人鼓吹出來血祭
1972年當時能帶全家移民美國PR多少  港仔比較多移民英國吧?認識兩個完全
為什麼大家那麼討厭非凡公子  不會討厭啊這角色很不錯
性騷零容忍不會這樣就算了是什麼標準  就是你柯文哲給我小心一點
有千輝打火機的八卦嗎  只有一個打火機，怎麼加熱打火機照片？
有沒有公僕高薪養廉的八卦  現在的政府是養蠊
性騷擾吃案輿論炸鍋民進黨最新聲明若  拜託民進黨一直把垃圾當成寶突然要
住過高級老爺行旅住回一般飯店能適應嗎  有很頂嗎？我大學的時候就住過了啊==
文法講錯外國人會很car嗎  我們美國人會很car
范雲被新聞霸凌這次我也不想忍了  都放了9個月才處理這查某真的廢物
林飛帆認了性騷當時知情卻無作為因  還好吧，那一代的覺青不是都被看破手腳了
摩根已經抽到寶四需要寶五嗎  問就是要抽滿寶當萬金油打手
日本人直接把醬油擠在壽司上享用  請把嘴靠在醬油罐口直接享用
縱放性騷的督導要不要終生不得參選啊  這種噁心的遇到熔爐的案子我看也是電電
公司午餐訂館長便當下班前才到黑了吧  你同事假粉吧，館長直播說了大家都說冷
2022年台積電平均年薪320萬  這樣光跟台積電平均，等於是87萬人領底薪
老王炸烤好吃嗎  老二鹽水雞好吃
八年級生在職場上怎這麼敢說  下班時間到就閃，事情做不完，明天再說
高雄青海路警匪衝突現場  高雄完全不意外
EE是不是其實很爛  自信一點把是不是其實拿掉
台南是德智體群美的搖籃嗎  台南老師教得很棒啊台南的老師很優秀
到底誰支持黑道詐騙炒房淫亂  我最淫亂對不起
民進黨爆性騷擾吃案柯文哲批拖9個月通往性平台灣還  對性騷擾直接吃案，裝沒看到高嘉瑜被揍
頂大工學院轉系逾2成AI熱潮電機光電資工搶手陽  頂大是哪間？
周朝先的理想是不是實現了  不是，那只是紀錄片從以前就這樣沒變過
老婆吃個拉麵結果被老闆趕出去  日本拉麵職人精神就是個笑話吃個飯毛
為什麼某族群會如此荒淫無度  好好打出來是那些族群，不要怕
溫朗東林飛帆最好  這風向太爛了認真工作好嗎
作曲家會不會被AI取代  會，非頂尖都會被取代，金庸會站頂端，
前黨工遭性騷賴清德致歉不會就這樣算  最後嚴懲被害者沒有申訴第三次就好笑了
現在持股佔總資產的50會不會太高00  10萬塊放5萬會太高嗎
台灣新聞媒體是不是被黑手控制了  台灣的媒體早就是民進黨養的狗了
為什麼便利商店不請兩個人  8個人也沒等多久啊一個人又沒買幾樣東西
MLB大谷翔平雙響砲登美聯第二天使教  笑死這樣就要休勞工之恥
台南美食是真的好吃還是自high  都自high根本過譽難吃真的!別再來啦~拜託了
有沒有日本黑道申請解散的八卦  日本黑道才是真黑道
館長待會要怎麼解釋便當出一堆包的問題  我就問打電話要不要錢？人工要不要錢？
全世界大金是不是只有臺灣會搞那slogan  又是你，不發在就可版是因為想不出
女子摔角好看在哪裡發錢  女子在哪
沒人發現越奴的員工薪水通常越高嗎  沒喔，我薪水洨偷，但薪水也算高惹
為什麼身心障礙頭髮都很短  你是不是在臭EE
民進黨爆性騷擾吃案柯文哲批拖9個月通往性平台灣還有很  民進黨婦女部檢討柯文哲不用9個月，9分鐘
開公司根本穩賺的吧  開公司一定賺的，問題是你會不會開？
不只送房子沈富雄又發豪語柯選上  與沈富雄的高中同學好朋友李源德(前台
黃仁勳老婆媽媽掉進水裡先救誰的八卦  旁邊的人會先跳下去救
為啥性騷擾話題性屌虐黑金  性屌虐聽起來很hardcore
白肉雞價格一直漲農委會可吃土雞議  這概念就杏鮑菇一直漲可以去吃松茸
ChatGPTApp開放台灣下載iPhone用戶搶  3.5,搶個屁?
IH電磁爐搖怎麼大火爆香呀  再怎麼大也沒有外面商用快速爐大啦
高雄男29樓墜落慘死家屬驚訝昨天才搬  喔喔喔我想說這是什麼梗
現在是太陽花學運最好的時代黃賭毒詐騙  是，人家當年在演戲，現在是做自己
50歲之後工作上遇到難搞長官怎麼解  誰50歲還沒退休阿笑死
荒謬WHO朝鮮竟以123票當選新一屆世衛  中國台北又不是國家還想加進去喔？
范雲被新聞霸凌這次我也不想忍了  合理懷疑怕看錯風向就留不住不分區
今天兒童節為何台灣地區不慶祝  台灣有台灣的玩法
工程師愛娶女公務員  鄉民嫌女老師結果發哥一堆娶女老師的
急說長得跟小美人魚一樣是稱讚還是  看是小美人魚還是人魚小美
為什麼女人動作那麼慢  你嫌女人慢，不怕女人說你太快
平均只有18歲AcQUA源少年上彈跳床嗨翻  誰?18歲還在跳彈簧床?
加薪該怎慶祝的卦  3200連我薪水的0.5%都不到慶祝個雕
長輩說自由行都很危險  泰國跟中國都蠻安全的，歐洲反而危險
有人Line掛掉了嗎  我也覺得有問題學妹好久沒賴我了
給你10億得糖尿病要嗎  你在糖尿病島問糖尿病
要怎麼認識優質魚妹  禮服店要怎麼匡出場
台灣人開車騎車到底在貼三小的卦  所以一直覺得在台灣騎車開車感覺都很不
2年擾鄰40案警貼身看守基隆攻擊伯  攻員警怕被攻擊所以就丟醫院嗎？這
溫朗東林飛帆最好  沒差好嗎老爸瘋狂抖內党只是先蹲後跳
黃仁勳怎麼評價滴滴流牛肉麵  黃仁勳套餐爆紅
所以輝哥老婆現在心裡正在想什麼  輝嫂辛苦了心中有大愛包容咱輝哥沒
月薪不到10萬的朋友找我訴苦是何心態  我們不到3萬，你找我們抱怨幹嘛
前黨工遭性騷賴清德致歉不會就這樣算  。好樣的
沒人發現台灣工時比別人長產值卻很低嗎  沒品牌只能做低毛利代工
判7年定讞連千毅報到入監稱好好進修  進監獄和獄友好好交流犯罪技巧嗎？
撞臉假面騎士主角喜劇演員喬瑟夫現  當喜劇演員怎麼養的起自己空檔咖戲正常
這上面寫的是真的嗎  我的脖子
被關是甚麼感覺  從此不再便秘的感覺
為什麼日本人可以保持環境很乾淨  太時她很驚訝，而且也知道她不奢望日本人
九面的joe4要對決推薦哪集  都挺廢的還不如看以前的機艙開箱
四通橋消失了網友問他們是多麼害怕  咦星期天是六月幾號啊？
解放軍上將嗆沖繩若獨  解放軍上將：若夏威夷獨立會如何
性騷擾如何吃案  分類先吃案==
akb的齋藤陽菜也太可愛了吧  這麼普你說可愛，胃口還真不是普通的好
林飛帆認了性騷當時知情卻無作為因  他就屁孩裝成熟看了就賭爛
無花果乾怎麼那麼好吃  為什麼會有人覺得比新鮮的好吃？？
公司要找一個執行創意總監  安迪扮小弟那部？
溫朗東林飛帆最好  這傢伙終於說了句人話很好很好
下班回到房間做的第一件事是何的八卦  開冷氣-脫衣服-做運動-洗澡-跳到
性騷受害者竟遭綠網軍質疑沒報警游淑慧  塔綠班：沒報警，你是不是很爽?高潮了吧
今晚三立會討論甚麼  當然討論柯和郭搞gay
拍廣告484都要被潛規則  都市傳說是想要上螢幕都_
林飛帆認了性騷當時知情卻無作為因  翻譯：不要再打了不要再打了
詐騙不認識性騷全道歉的八卦嗎  不是醫龍啦是仁醫
增肥算熱量才知道要吃這麼多卦  長肌肉要吃5000以上不信你問那些巨巨
轟林飛帆知有性騷已不適合參選周  摳嬤暫時想不出誰可以出來選又不想害
才因猥褻女童被判刑深海閻王PO文  身為柔術家猥褻女童對嗎?
冥婚怎麼看都是Z大於B吧  鬼都不要
相撲的晉級有多難啊  請教十兩之後還有什麼關卡待遇如何?
下班回到房間做的第一件事是何的八卦  沒問題~行的
八年級生在職場上怎這麼敢說  非常敢說而且很敢要薪資福利XD
前黨工遭性騷賴清德致歉不會就這樣算  對爆料者民禁党不會就這樣算了
花3k跟女優親密接觸值得嗎  親密接觸握握手嗎?
找變性網紅代言大踩雷百威啤酒市值蒸  不就跟找joeman代言飯糰一樣，在那邊玩食
房貸補貼比之租屋補貼快上路代表甚麼  每年都有租屋補貼好嗎
唉這樣是被自助餐歐巴桑鄙視了嗎QQ  你兩條都買歐巴桑應該就直接給你親下去了
吃案有沒有好聽一點的說法  民主的吃案
民進黨下令隱匿性騷案一律開除黨工  之前是性騷案一律隱匿受害者開除這黨真噁
轟林飛帆知有性騷已不適合參選周  黨都已經問女生「為什麼不叫」「怎麼不跳
鈴木怎麼了  鈴木愛理真讚
66歲阿嬤會被性騷擾嗎  五樓需要犀利士嗎，我有
人選之人後面還會有什麼巧合嗎  難道只有你覺得是巧合？
快訊親綠插畫家爆長期性騷小模外流私密照本人道  很好找阿
輝哥好久不見粉專整個關了喔  綠共手伸的好深喔
該如何查證有人知情不報呢  不過泄密好罰，知情不報這事很難罰，有
